benchmark,num_vars,gr1_real,gr1_states,gr1_path,altl_real,altl_states,altl_path,agr1_real,agr1_states,agr1_path
specs_G20woef1,56,REALIZABLE,10,experiments/automata/gr1mine/specs_G20woef1.txt,REALIZABLE,1,experiments/automata/atlas_ltl/specs_G20woef1.hoa,,,
specs_G20wsf1,56,REALIZABLE,12,experiments/automata/gr1mine/specs_G20wsf1.txt,UNREALIZABLE,,experiments/automata/atlas_ltl/specs_G20wsf1.hoa,,,
specs_G20wsf2,56,REALIZABLE,8,experiments/automata/gr1mine/specs_G20wsf2.txt,REALIZABLE,1,experiments/automata/atlas_ltl/specs_G20wsf2.hoa,REALIZABLE,8,experiments/automata/atlas_gr1/specs_G20wsf2.txt
specs_G20wst1,56,REALIZABLE,8,experiments/automata/gr1mine/specs_G20wst1.txt,REALIZABLE,1,experiments/automata/atlas_ltl/specs_G20wst1.hoa,REALIZABLE,8,experiments/automata/atlas_gr1/specs_G20wst1.txt
specs_G20wst2,56,REALIZABLE,12,experiments/automata/gr1mine/specs_G20wst2.txt,,,,,,
gen_buf_w_guar_fairness_30_genbuf,76,REALIZABLE,7,experiments/automata/gr1mine/gen_buf_w_guar_fairness_30_genbuf.txt,,,,,,
gen_buf_w_guar_trans_30_genbuf,76,REALIZABLE,12,experiments/automata/gr1mine/gen_buf_w_guar_trans_30_genbuf.txt,REALIZABLE,1,experiments/automata/atlas_ltl/gen_buf_w_guar_trans_30_genbuf.hoa,,,
gen_buf_wo_ass_fairness_30_genbuf,76,REALIZABLE,8,experiments/automata/gr1mine/gen_buf_wo_ass_fairness_30_genbuf.txt,REALIZABLE,1,experiments/automata/atlas_ltl/gen_buf_wo_ass_fairness_30_genbuf.hoa,,,
gen_buf_w_guar_fairness_40_genbuf,97,REALIZABLE,22,experiments/automata/gr1mine/gen_buf_w_guar_fairness_40_genbuf.txt,,,,,,
gen_buf_w_guar_trans_40_genbuf,97,REALIZABLE,8,experiments/automata/gr1mine/gen_buf_w_guar_trans_40_genbuf.txt,,,,,,
gen_buf_wo_ass_fairness_40_genbuf,97,REALIZABLE,14,experiments/automata/gr1mine/gen_buf_wo_ass_fairness_40_genbuf.txt,,,,,,
specs_G100woef1,218,REALIZABLE,12,experiments/automata/gr1mine/specs_G100woef1.txt,,,,,,
specs_G100wsf1,218,REALIZABLE,8,experiments/automata/gr1mine/specs_G100wsf1.txt,,,,,,
specs_G100wsf2,218,REALIZABLE,8,experiments/automata/gr1mine/specs_G100wsf2.txt,,,,,,
specs_G100wst1,218,REALIZABLE,8,experiments/automata/gr1mine/specs_G100wst1.txt,,,,,,
specs_G100wst2,218,REALIZABLE,27,experiments/automata/gr1mine/specs_G100wst2.txt,,,,,,
